risk,rat_present,season,hours_after_sunset,month,bat_landing_to_food
0,1,1,4.885,4,2.0
0,1,1,4.892777778,4,4.0
1,1,1,4.894722222,4,1.0
1,1,1,4.901944444,4,7.0
0,1,1,4.906111111,4,6.0
1,1,1,4.919166667,4,5.0
0,1,1,4.919444444,4,18.0
0,1,1,4.925833333,4,3.0
1,1,1,4.9325,4,10.0
0,1,1,5.808888889,4,1.0
0,1,1,5.813333333,4,0.063724824
1,1,1,5.815277778,4,5.0
0,1,1,5.824166667,4,6.0
1,1,1,6.935833333,4,15.0
0,1,1,6.945555556,4,4.0
1,1,1,7.071388889,4,5.0
0,1,1,7.079722222,4,0.026148246
1,1,1,7.528333333,4,7.0
0,1,1,7.530555556,4,7.0
0,1,1,7.533611111,4,0.08833199
0,1,1,7.542222222,4,8.0
1,1,1,7.549166667,4,28.0
0,1,1,7.553611111,4,6.0
1,1,1,8.1225,4,15.0
0,1,1,8.126388889,4,2.0
0,1,1,8.305,4,3.0
0,1,1,8.554722222,4,3.0
1,1,1,9.978888889,4,17.0
0,1,1,10.04972222,4,1.0
0,1,1,10.63222222,4,3.0
0,1,1,3.875,4,0.032185829
1,1,1,1.516388889,4,1.0
1,1,1,1.5275,4,12.0
0,1,1,5.118888889,4,7.0
0,1,1,6.058055556,4,3.0
1,1,1,9.331666667,4,8.0
0,1,1,9.334444444,4,1.0
0,1,1,9.352222222,4,5.0
0,1,1,9.353888889,4,14.0
0,1,1,-0.175555556,4,0.084689878
0,1,1,1.792222222,4,0.093387578
0,1,1,1.491944444,4,0.029003504
0,1,1,2.300555556,4,9.0
0,1,1,2.314444444,4,1.0
1,1,1,1.926388889,4,2.0
1,1,1,1.946111111,4,2.0
1,1,1,2.227222222,4,50.0
1,1,1,2.8325,4,150.0
1,1,1,2.853611111,4,6.0
0,1,1,2.878333333,4,11.0
1,1,1,2.928055556,4,13.0
1,1,1,3.343333333,4,32.0
0,1,1,3.786944444,4,36.0
1,1,1,4.1525,4,164.0
